,0,1,2,3,4,5
0,color,number,shape,color,number,shape
1,color,number,shape,color,shape,number
2,color,number,shape,number,color,shape
3,color,number,shape,number,shape,color
4,color,shape,number,color,number,shape
5,color,shape,number,color,shape,number
6,color,shape,number,shape,color,number
7,color,shape,number,shape,number,color
8,number,color,shape,color,number,shape
9,number,color,shape,color,shape,number
10,number,color,shape,number,color,shape
11,number,color,shape,number,shape,color
12,number,shape,color,number,color,shape
13,number,shape,color,number,shape,color
14,number,shape,color,shape,color,number
15,number,shape,color,shape,number,color
16,shape,color,number,color,number,shape
17,shape,color,number,color,shape,number
18,shape,color,number,shape,color,number
19,shape,color,number,shape,number,color
20,shape,number,color,number,color,shape
21,shape,number,color,number,shape,color
22,shape,number,color,shape,color,number
23,shape,number,color,shape,number,color
