,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,62,0.2,0.5,1,SN,Y-SQ-ONE,4,0.9999999999999979,1,C,6,X,0,1,0,0,0
1,62,0.8,1.1,2,C,B-SQ-ONE,2,0.9999999999999507,2,C,6,1,0,0,0,0,0
2,62,1.4,1.7,3,C,R-CR-TWO,1,0.9999999999999591,1,C,6,2,0,0,0,0,0
3,62,2.0,2.3,4,C,R-CR-THREE,1,0.9999999999999698,1,C,6,3,0,0,0,0,0
4,62,2.6,2.9,5,C,B-ST-ONE,2,0.9999999999999738,2,C,6,4,0,0,0,0,0
5,62,3.21,3.51,6,CS,Y-ST-ONE,4,0.9999999999999721,4,C,6,5,0,0,0,0,0
6,62,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999711,2,C,6,6,0,0,0,0,0
7,62,4.41,4.71,8,C,R-TR-THREE,1,0.9999999999999688,1,C,6,7,0,0,0,0,0
8,62,5.01,5.31,9,C,Y-TR-THREE,4,0.9999999999999841,4,C,6,8,0,0,0,0,0
9,62,5.61,5.91,10,CN,R-CR-ONE,1,0.999999999999971,1,C,6,9,0,0,0,0,0
10,62,6.21,6.51,11,C,B-TR-FOUR,2,0.9999999999999686,2,C,6,10,0,0,0,0,0
11,62,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999669,2,S,6,1,1,0,0,0,0
12,62,7.41,7.71,13,CN,G-ST-THREE,4,0.9999999999999976,3,S,6,X,1,1,1,1,0
13,62,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999855,4,S,6,1,1,0,0,0,0
14,62,8.61,8.91,15,N,G-SQ-TWO,1,0.9999999999999978,2,S,6,X,1,1,1,0,0
15,62,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999655,3,S,6,1,1,0,0,0,0
16,62,9.82,10.12,17,S,Y-SQ-FOUR,1,0.999999999999975,1,S,6,2,1,0,0,0,0
17,62,10.42,10.72,18,S,B-SQ-FOUR,1,0.9999999999999664,1,S,6,3,1,0,0,0,0
18,62,11.02,11.32,19,CS,G-TR-FOUR,3,0.9999999999999669,3,S,6,4,1,0,0,0,0
19,62,11.62,11.92,20,S,G-ST-TWO,4,0.999999999999986,4,S,6,5,1,0,0,0,0
20,62,12.22,12.52,21,S,B-SQ-THREE,1,0.9999999999999747,1,S,6,6,1,0,0,0,0
21,62,12.82,13.12,22,S,R-TR-TWO,3,0.9999999999999888,3,S,6,7,1,0,0,0,0
22,62,13.42,13.72,23,S,R-ST-TWO,4,0.999999999999984,4,S,6,8,1,0,0,0,0
23,62,14.02,14.32,24,S,Y-TR-FOUR,3,0.9999999999999688,3,S,6,9,1,0,0,0,0
24,62,14.62,14.92,25,CSN,R-SQ-ONE,1,0.999999999999991,1,S,6,10,1,0,0,0,0
25,62,15.22,15.52,26,S,Y-SQ-TWO,2,0.9999999999999968,1,N,6,X,2,1,1,1,0
26,62,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999872,4,N,6,1,2,0,0,0,0
27,62,16.43,16.73,28,CN,B-TR-TWO,2,0.9999999999999696,2,N,6,2,2,0,0,0,0
28,62,17.03,17.33,29,C,Y-CR-TWO,2,0.9999999999999977,4,N,6,X,2,1,1,0,0
29,62,17.63,17.93,30,N,G-ST-ONE,1,0.999999999999954,1,N,6,1,2,0,0,0,0
30,62,18.23,18.53,31,CN,G-SQ-THREE,3,0.9999999999999967,3,N,6,2,2,0,0,0,0
31,62,18.83,19.13,32,N,B-ST-THREE,3,0.9999999999999829,3,N,6,3,2,0,0,0,0
32,62,19.43,19.73,33,SN,B-ST-FOUR,4,0.9999999999999817,4,N,6,4,2,0,0,0,0
33,62,20.03,20.33,34,N,G-TR-ONE,1,0.9999999999999647,1,N,6,5,2,0,0,0,0
34,62,20.63,20.93,35,N,G-TR-TWO,2,0.9999999999999606,2,N,6,6,2,0,0,0,0
35,62,21.23,21.53,36,N,Y-CR-THREE,3,0.9999999999999928,3,N,6,7,2,0,0,0,0
36,62,21.84,22.14,37,N,R-SQ-THREE,3,0.9999999999999957,3,N,6,8,2,0,0,0,0
37,62,22.44,22.74,38,N,Y-SQ-THREE,3,0.999999999999991,3,N,6,9,2,0,0,0,0
38,62,23.04,23.34,39,N,Y-TR-ONE,1,0.9999999999999665,1,N,6,10,2,0,0,0,0
