,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,28,0.2,0.5,1,SN,Y-SQ-ONE,4,0.9999999999999974,1,C,5,X,0,1,0,0,0
1,28,0.8,1.1,2,C,B-SQ-ONE,2,0.9999999999999557,2,C,5,1,0,0,0,0,0
2,28,1.4,1.7,3,C,R-CR-TWO,1,0.9999999999999454,1,C,5,2,0,0,0,0,0
3,28,2.0,2.3,4,C,R-CR-THREE,1,0.9999999999999676,1,C,5,3,0,0,0,0,0
4,28,2.6,2.9,5,C,B-ST-ONE,2,0.9999999999999679,2,C,5,4,0,0,0,0,0
5,28,3.21,3.51,6,CS,Y-ST-ONE,4,0.9999999999999737,4,C,5,5,0,0,0,0,0
6,28,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999878,2,C,5,6,0,0,0,0,0
7,28,4.41,4.71,8,C,R-TR-THREE,1,0.999999999999971,1,C,5,7,0,0,0,0,0
8,28,5.01,5.31,9,C,Y-TR-THREE,4,0.9999999999999752,4,C,5,8,0,0,0,0,0
9,28,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999667,1,C,5,9,0,0,0,0,0
10,28,6.21,6.51,11,C,B-TR-FOUR,2,0.9999999999999778,2,C,5,10,0,0,0,0,0
11,28,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999825,2,S,5,1,1,0,0,0,0
12,28,7.41,7.71,13,CN,G-ST-THREE,4,0.9999999999999977,3,S,5,X,1,1,1,1,0
13,28,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999609,4,S,5,1,1,0,0,0,0
14,28,8.61,8.91,15,N,G-SQ-TWO,1,0.9999999999999969,2,S,5,X,1,1,1,0,0
15,28,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999416,3,S,5,1,1,0,0,0,0
16,28,9.82,10.12,17,S,Y-SQ-FOUR,1,0.9999999999999776,1,S,5,2,1,0,0,0,0
17,28,10.42,10.72,18,S,B-SQ-FOUR,1,0.9999999999999708,1,S,5,3,1,0,0,0,0
18,28,11.02,11.32,19,CS,G-TR-FOUR,3,0.9999999999999396,3,S,5,4,1,0,0,0,0
19,28,11.62,11.92,20,S,G-ST-TWO,4,0.999999999999957,4,S,5,5,1,0,0,0,0
20,28,12.22,12.52,21,S,B-SQ-THREE,1,0.9999999999999756,1,S,5,6,1,0,0,0,0
21,28,12.82,13.12,22,S,R-TR-TWO,3,0.9999999999999504,3,S,5,7,1,0,0,0,0
22,28,13.42,13.72,23,S,R-ST-TWO,4,0.9999999999999633,4,S,5,8,1,0,0,0,0
23,28,14.02,14.32,24,S,Y-TR-FOUR,3,0.9999999999999449,3,S,5,9,1,0,0,0,0
24,28,14.62,14.92,25,CSN,R-SQ-ONE,1,0.999999999999987,1,S,5,10,1,0,0,0,0
25,28,15.22,15.52,26,S,Y-SQ-TWO,2,0.999999999999997,1,N,5,X,2,1,1,1,0
26,28,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999458,4,N,5,1,2,0,0,0,0
27,28,16.43,16.73,28,CN,B-TR-TWO,2,0.9999999999999726,2,N,5,2,2,0,0,0,0
28,28,17.03,17.33,29,C,Y-CR-TWO,2,0.999999999999998,4,N,5,X,2,1,1,0,0
29,28,17.63,17.93,30,N,G-ST-ONE,1,0.9999999999999619,1,N,5,1,2,0,0,0,0
30,28,18.23,18.53,31,CN,G-SQ-THREE,3,0.9999999999999665,3,N,5,2,2,0,0,0,0
31,28,18.83,19.13,32,N,B-ST-THREE,3,0.9999999999999671,3,N,5,3,2,0,0,0,0
32,28,19.43,19.73,33,SN,B-ST-FOUR,4,0.9999999999999837,4,N,5,4,2,0,0,0,0
33,28,20.03,20.33,34,N,G-TR-ONE,1,0.9999999999999897,1,N,5,5,2,0,0,0,0
34,28,20.64,20.94,35,N,G-TR-TWO,2,0.9999999999999817,2,N,5,6,2,0,0,0,0
35,28,21.24,21.54,36,N,Y-CR-THREE,3,0.9999999999999678,3,N,5,7,2,0,0,0,0
36,28,21.84,22.14,37,N,R-SQ-THREE,3,0.9999999999999655,3,N,5,8,2,0,0,0,0
37,28,22.44,22.74,38,N,Y-SQ-THREE,3,0.9999999999999694,3,N,5,9,2,0,0,0,0
38,28,23.04,23.34,39,N,Y-TR-ONE,1,0.9999999999999808,1,N,5,10,2,0,0,0,0
39,28,23.64,23.94,40,N,Y-CR-ONE,4,0.9999999999999973,1,C,5,X,3,1,1,1,0
40,28,24.24,24.54,41,CN,R-ST-ONE,1,0.9999999999999052,1,C,5,1,3,0,0,0,0
41,28,24.84,25.14,42,S,R-TR-FOUR,1,0.9999999999999976,3,C,5,X,3,1,0,0,0
42,28,25.45,25.75,43,CSN,G-TR-THREE,3,0.9999999999999386,3,C,5,1,3,0,0,0,0
43,28,26.05,26.35,44,N,B-TR-ONE,2,0.9999999999999977,1,C,5,X,3,1,1,1,0
44,28,26.65,26.95,45,S,G-CR-FOUR,3,0.9999999999999969,2,C,5,X,3,1,0,0,0
45,28,27.25,27.55,46,CS,B-CR-THREE,2,0.999999999999958,2,C,5,1,3,0,0,0,0
46,28,27.85,28.15,47,CS,R-SQ-FOUR,1,0.999999999999977,1,C,5,2,3,0,0,0,0
47,28,28.45,28.75,48,C,R-ST-FOUR,1,0.999999999999978,1,C,5,3,3,0,0,0,0
48,28,29.05,29.35,49,CN,B-ST-TWO,2,0.9999999999999689,2,C,5,4,3,0,0,0,0
49,28,29.65,29.95,50,N,G-CR-ONE,3,0.9999999998944087,1,C,5,X,3,1,1,1,0
50,28,30.25,30.55,51,CN,R-TR-ONE,1,0.9999999999999407,1,C,5,1,3,0,0,0,0
51,28,30.86,31.16,52,CN,G-CR-THREE,3,0.9999999999999765,3,C,5,2,3,0,0,0,0
