,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,24,0.2,0.5,1,SN,Y-SQ-ONE,1,0.999999999999991,1,N,13,1,0,0,0,0,0
1,24,0.8,1.1,2,SN,B-SQ-ONE,1,0.9999999999999973,1,N,13,2,0,0,0,0,0
2,24,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999974,2,N,13,3,0,0,0,0,0
3,24,2.0,2.3,4,S,R-CR-THREE,3,0.9999999999999977,2,N,13,X,0,1,1,0,0
4,24,2.6,2.9,5,C,B-ST-ONE,1,0.9999999999999972,2,N,13,X,0,1,0,0,0
5,24,3.21,3.51,6,N,Y-ST-ONE,1,0.9999999999999972,1,N,13,1,0,0,0,0,0
6,24,3.81,4.11,7,N,B-CR-ONE,1,0.999999999999998,1,N,13,2,0,0,0,0,0
7,24,4.41,4.71,8,SN,R-TR-THREE,3,0.9999999999999974,3,N,13,3,0,0,0,0,0
8,24,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999978,3,N,13,4,0,0,0,0,0
9,24,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999974,1,N,13,5,0,0,0,0,0
10,24,6.21,6.51,11,N,B-TR-FOUR,4,0.9999999999999968,4,N,13,6,0,0,0,0,0
11,24,6.81,7.11,12,N,B-CR-FOUR,4,0.9999999999999971,4,N,13,7,0,0,0,0,0
12,24,7.41,7.71,13,CN,G-ST-THREE,3,0.9999999999999973,3,N,13,8,0,0,0,0,0
13,24,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999973,4,N,13,9,0,0,0,0,0
14,24,8.61,8.91,15,N,G-SQ-TWO,2,0.9999999999999972,2,N,13,10,0,0,0,0,0
15,24,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999979,3,S,13,1,1,0,0,0,0
16,24,9.82,10.12,17,CN,Y-SQ-FOUR,1,0.9999999999999978,4,S,13,X,1,1,1,1,0
17,24,10.42,10.72,18,S,B-SQ-FOUR,1,0.9999999999999964,1,S,13,1,1,0,0,0,0
18,24,11.02,11.32,19,CS,G-TR-FOUR,3,0.9999999999999981,3,S,13,2,1,0,0,0,0
19,24,11.62,11.92,20,S,G-ST-TWO,4,0.9999999999999966,4,S,13,3,1,0,0,0,0
20,24,12.22,12.52,21,S,B-SQ-THREE,1,0.999999999999997,1,S,13,4,1,0,0,0,0
21,24,12.82,13.12,22,S,R-TR-TWO,3,0.9999999999999978,3,S,13,5,1,0,0,0,0
22,24,13.42,13.72,23,S,R-ST-TWO,4,0.9999999999999971,4,S,13,6,1,0,0,0,0
23,24,14.02,14.32,24,S,Y-TR-FOUR,3,0.9999999999999967,3,S,13,7,1,0,0,0,0
24,24,14.63,14.93,25,CSN,R-SQ-ONE,1,0.9999999999999981,1,S,13,8,1,0,0,0,0
25,24,15.23,15.53,26,S,Y-SQ-TWO,1,0.999999999999997,1,S,13,9,1,0,0,0,0
26,24,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999977,4,S,13,10,1,0,0,0,0
27,24,16.43,16.73,28,S,B-TR-TWO,2,0.9999999999999977,3,C,13,X,2,1,1,1,0
28,24,17.03,17.33,29,C,Y-CR-TWO,4,0.9999999999999961,4,C,13,1,2,0,0,0,0
29,24,17.63,17.93,30,C,G-ST-ONE,3,0.9999999999999959,3,C,13,2,2,0,0,0,0
30,24,18.23,18.53,31,CN,G-SQ-THREE,3,0.9999999999999968,3,C,13,3,2,0,0,0,0
31,24,18.83,19.13,32,C,B-ST-THREE,2,0.999999999999997,2,C,13,4,2,0,0,0,0
32,24,19.43,19.73,33,C,B-ST-FOUR,2,0.9999999999999967,2,C,13,5,2,0,0,0,0
33,24,20.03,20.33,34,CS,G-TR-ONE,3,0.999999999999997,3,C,13,6,2,0,0,0,0
34,24,20.63,20.93,35,CS,G-TR-TWO,3,0.9999999999999976,3,C,13,7,2,0,0,0,0
35,24,21.24,21.54,36,C,Y-CR-THREE,4,0.9999999999999962,4,C,13,8,2,0,0,0,0
36,24,21.84,22.14,37,CS,R-SQ-THREE,1,0.9999999999999969,1,C,13,9,2,0,0,0,0
37,24,22.44,22.74,38,C,Y-SQ-THREE,4,0.9999999999999976,4,C,13,10,2,0,0,0,0
38,24,23.04,23.34,39,C,Y-TR-ONE,1,0.9999999999999971,4,N,13,X,3,1,1,1,0
39,24,23.64,23.94,40,N,Y-CR-ONE,1,0.9999999999999979,1,N,13,1,3,0,0,0,0
40,24,24.24,24.54,41,CN,R-ST-ONE,1,0.9999999999999972,1,N,13,2,3,0,0,0,0
41,24,24.84,25.14,42,N,R-TR-FOUR,4,0.9999999999999981,4,N,13,3,3,0,0,0,0
42,24,25.44,25.74,43,CSN,G-TR-THREE,3,0.9999999999999974,3,N,13,4,3,0,0,0,0
43,24,26.04,26.34,44,N,B-TR-ONE,1,0.9999999999999968,1,N,13,5,3,0,0,0,0
44,24,26.64,26.94,45,N,G-CR-FOUR,4,0.9999999999999968,4,N,13,6,3,0,0,0,0
45,24,27.25,27.55,46,N,B-CR-THREE,3,0.9999999999999976,3,N,13,7,3,0,0,0,0
46,24,27.85,28.15,47,N,R-SQ-FOUR,4,0.9999999999999974,4,N,13,8,3,0,0,0,0
47,24,28.45,28.75,48,SN,R-ST-FOUR,4,0.9999999999999973,4,N,13,9,3,0,0,0,0
48,24,29.05,29.35,49,CN,B-ST-TWO,2,0.999999999999997,2,N,13,10,3,0,0,0,0
49,24,29.65,29.95,50,N,G-CR-ONE,2,0.9999999999999981,1,S,13,X,4,1,1,1,0
50,24,30.26,30.56,51,S,R-TR-ONE,3,0.9999999999999972,3,S,13,1,4,0,0,0,0
51,24,30.86,31.16,52,S,G-CR-THREE,2,0.9999999999999971,2,S,13,2,4,0,0,0,0
52,24,31.46,31.76,53,S,R-CR-FOUR,2,0.9999999999999959,2,S,13,3,4,0,0,0,0
53,24,32.06,32.36,54,S,Y-CR-FOUR,2,0.9999999999999978,2,S,13,4,4,0,0,0,0
54,24,32.66,32.96,55,SN,G-SQ-ONE,1,0.9999999999999974,1,S,13,5,4,0,0,0,0
55,24,33.26,33.56,56,CS,R-SQ-TWO,1,0.999999999999997,1,S,13,6,4,0,0,0,0
56,24,33.86,34.16,57,S,Y-TR-TWO,3,0.9999999999999968,3,S,13,7,4,0,0,0,0
57,24,34.46,34.76,58,CS,Y-ST-TWO,4,0.9999999999999973,4,S,13,8,4,0,0,0,0
58,24,35.06,35.36,59,CSN,B-CR-TWO,2,0.999999999999998,2,S,13,9,4,0,0,0,0
59,24,35.66,35.96,60,SN,G-CR-TWO,2,0.9999999999999971,2,S,13,10,4,0,0,0,0
60,24,36.26,36.56,61,S,B-SQ-TWO,2,0.9999999999999979,1,C,13,X,5,1,1,1,0
61,24,36.87,37.17,62,CS,Y-ST-THREE,4,0.9999999999999977,4,C,13,1,5,0,0,0,0
62,24,37.47,37.77,63,C,R-ST-THREE,1,0.9999999999999971,1,C,13,2,5,0,0,0,0
63,24,38.07,38.37,64,C,G-SQ-FOUR,3,0.999999999999993,3,C,13,3,5,0,0,0,0
64,24,38.67,38.97,65,C,Y-SQ-ONE,4,0.9999999999999961,4,C,13,4,5,0,0,0,0
65,24,39.27,39.57,66,C,B-SQ-ONE,2,0.9999999999999972,2,C,13,5,5,0,0,0,0
66,24,39.87,40.17,67,C,R-CR-TWO,1,0.9999999999999969,1,C,13,6,5,0,0,0,0
67,24,40.47,40.77,68,C,R-CR-THREE,1,0.999999999999997,1,C,13,7,5,0,0,0,0
68,24,41.07,41.37,69,C,B-ST-ONE,2,0.9999999999999974,2,C,13,8,5,0,0,0,0
69,24,41.67,41.97,70,CS,Y-ST-ONE,4,0.9999999999999979,4,C,13,9,5,0,0,0,0
70,24,42.28,42.58,71,CS,B-CR-ONE,2,0.9999999999999971,2,C,13,10,5,0,0,0,0
71,24,42.88,43.18,72,C,R-TR-THREE,3,0.9999999999999972,1,N,13,X,6,1,1,1,0
72,24,43.48,43.78,73,SN,Y-TR-THREE,3,0.9999999999999969,3,N,13,1,6,0,0,0,0
73,24,44.08,44.38,74,CN,R-CR-ONE,1,0.9999999999999971,1,N,13,2,6,0,0,0,0
74,24,44.68,44.98,75,N,B-TR-FOUR,4,0.9999999999999982,4,N,13,3,6,0,0,0,0
75,24,45.28,45.58,76,N,B-CR-FOUR,4,0.9999999999999963,4,N,13,4,6,0,0,0,0
