,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,52,0.2,0.5,1,C,Y-SQ-ONE,1,0.9999999999998994,4,S,22,X,0,1,0,0,0
1,52,0.8,1.1,2,SN,B-SQ-ONE,1,0.9999999999999958,1,S,22,1,0,0,0,0,0
2,52,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999754,2,S,22,2,0,0,0,0,0
3,52,2.0,2.3,4,N,R-CR-THREE,2,0.9999999999999971,3,S,22,X,0,1,1,0,0
4,52,2.6,2.9,5,S,B-ST-ONE,4,0.9999999999999565,4,S,22,1,0,0,0,0,0
5,52,3.21,3.51,6,CS,Y-ST-ONE,4,0.9999999999999684,4,S,22,2,0,0,0,0,0
6,52,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999757,2,S,22,3,0,0,0,0,0
7,52,4.41,4.71,8,SN,R-TR-THREE,3,0.999999999999973,3,S,22,4,0,0,0,0,0
8,52,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999717,3,S,22,5,0,0,0,0,0
9,52,5.61,5.91,10,S,R-CR-ONE,2,0.9999999999999714,2,S,22,6,0,0,0,0,0
10,52,6.21,6.51,11,S,B-TR-FOUR,3,0.9999999999999771,3,S,22,7,0,0,0,0,0
11,52,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999745,2,S,22,8,0,0,0,0,0
12,52,7.41,7.71,13,S,G-ST-THREE,4,0.9999999999999718,4,S,22,9,0,0,0,0,0
13,52,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999658,4,S,22,10,0,0,0,0,0
14,52,8.61,8.91,15,S,G-SQ-TWO,2,0.9999999999999972,1,N,22,X,1,1,1,1,0
15,52,9.22,9.52,16,C,B-TR-THREE,3,0.9999999999999967,2,N,22,X,1,1,0,0,0
16,52,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.9999999999999748,4,N,22,1,1,0,0,0,0
17,52,10.42,10.72,18,N,B-SQ-FOUR,4,0.9999999999999688,4,N,22,2,1,0,0,0,0
18,52,11.02,11.32,19,N,G-TR-FOUR,4,0.9999999999999609,4,N,22,3,1,0,0,0,0
19,52,11.62,11.92,20,N,G-ST-TWO,2,0.9999999999999793,2,N,22,4,1,0,0,0,0
20,52,12.22,12.52,21,N,B-SQ-THREE,3,0.9999999999999756,3,N,22,5,1,0,0,0,0
21,52,12.82,13.12,22,N,R-TR-TWO,2,0.9999999999999649,2,N,22,6,1,0,0,0,0
22,52,13.42,13.72,23,N,R-ST-TWO,2,0.9999999999999787,2,N,22,7,1,0,0,0,0
23,52,14.02,14.32,24,CN,Y-TR-FOUR,4,0.9999999999999849,4,N,22,8,1,0,0,0,0
24,52,14.62,14.92,25,CSN,R-SQ-ONE,1,0.9999999999999778,1,N,22,9,1,0,0,0,0
25,52,15.22,15.52,26,N,Y-SQ-TWO,2,0.9999999999999742,2,N,22,10,1,0,0,0,0
26,52,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999785,4,C,22,1,2,0,0,0,0
27,52,16.43,16.73,28,CN,B-TR-TWO,2,0.9999999999999681,2,C,22,2,2,0,0,0,0
28,52,17.03,17.33,29,SN,Y-CR-TWO,4,0.9999999999999972,2,C,22,X,2,1,1,1,0
29,52,17.63,17.93,30,S,G-ST-ONE,3,0.9999999999999968,4,C,22,X,2,1,1,0,0
30,52,18.23,18.53,31,CN,G-SQ-THREE,3,0.9999999999999893,3,C,22,1,2,0,0,0,0
31,52,18.83,19.13,32,C,B-ST-THREE,2,0.9999999999999856,2,C,22,2,2,0,0,0,0
32,52,19.43,19.73,33,C,B-ST-FOUR,2,0.9999999999999737,2,C,22,3,2,0,0,0,0
33,52,20.03,20.33,34,CS,G-TR-ONE,3,0.9999999999999775,3,C,22,4,2,0,0,0,0
34,52,20.63,20.93,35,CS,G-TR-TWO,3,0.9999999999999811,3,C,22,5,2,0,0,0,0
35,52,21.23,21.53,36,C,Y-CR-THREE,4,0.9999999999999842,4,C,22,6,2,0,0,0,0
36,52,21.84,22.14,37,CS,R-SQ-THREE,1,0.9999999999999855,1,C,22,7,2,0,0,0,0
37,52,22.44,22.74,38,C,Y-SQ-THREE,4,0.9999999999999807,4,C,22,8,2,0,0,0,0
38,52,23.04,23.34,39,C,Y-TR-ONE,4,0.999999999999989,4,C,22,9,2,0,0,0,0
39,52,23.64,23.94,40,C,Y-CR-ONE,4,0.999999999999985,4,C,22,10,2,0,0,0,0
40,52,24.24,24.54,41,CN,R-ST-ONE,4,0.9999999999999968,1,S,22,X,3,1,1,1,0
41,52,24.84,25.14,42,N,R-TR-FOUR,3,0.9999999999999973,4,S,22,X,3,1,1,0,0
42,52,25.44,25.74,43,CSN,G-TR-THREE,3,0.9999999999999631,3,S,22,1,3,0,0,0,0
43,52,26.04,26.34,44,S,B-TR-ONE,3,0.9999999999999756,3,S,22,2,3,0,0,0,0
44,52,26.64,26.94,45,S,G-CR-FOUR,2,0.9999999999999655,2,S,22,3,3,0,0,0,0
45,52,27.25,27.55,46,CS,B-CR-THREE,2,0.9999999999999689,2,S,22,4,3,0,0,0,0
46,52,27.85,28.15,47,CS,R-SQ-FOUR,1,0.9999999999999618,1,S,22,5,3,0,0,0,0
47,52,28.45,28.75,48,SN,R-ST-FOUR,4,0.999999999999937,4,S,22,6,3,0,0,0,0
48,52,29.05,29.35,49,S,B-ST-TWO,4,0.9999999999999442,4,S,22,7,3,0,0,0,0
49,52,29.65,29.95,50,S,G-CR-ONE,2,0.9999999999999704,2,S,22,8,3,0,0,0,0
50,52,30.25,30.55,51,S,R-TR-ONE,3,0.9999999999999585,3,S,22,9,3,0,0,0,0
51,52,30.85,31.15,52,S,G-CR-THREE,2,0.9999999999999749,2,S,22,10,3,0,0,0,0
52,52,31.45,31.75,53,S,R-CR-FOUR,1,0.999999999999997,2,C,22,X,4,1,1,1,0
53,52,32.05,32.35,54,CN,Y-CR-FOUR,4,0.9999999999999869,4,C,22,1,4,0,0,0,0
54,52,32.65,32.95,55,C,G-SQ-ONE,3,0.99999999999998,3,C,22,2,4,0,0,0,0
55,52,33.26,33.56,56,CS,R-SQ-TWO,1,0.9999999999999657,1,C,22,3,4,0,0,0,0
56,52,33.86,34.16,57,C,Y-TR-TWO,4,0.999999999999994,4,C,22,4,4,0,0,0,0
57,52,34.46,34.76,58,CS,Y-ST-TWO,4,0.999999999999989,4,C,22,5,4,0,0,0,0
58,52,35.06,35.36,59,CSN,B-CR-TWO,2,0.9999999999999787,2,C,22,6,4,0,0,0,0
59,52,35.66,35.96,60,C,G-CR-TWO,3,0.9999999999999775,3,C,22,7,4,0,0,0,0
60,52,36.26,36.56,61,CN,B-SQ-TWO,2,0.9999999999999759,2,C,22,8,4,0,0,0,0
61,52,36.86,37.16,62,CS,Y-ST-THREE,4,0.999999999999994,4,C,22,9,4,0,0,0,0
62,52,37.46,37.76,63,C,R-ST-THREE,1,0.9999999999999861,1,C,22,10,4,0,0,0,0
63,52,38.06,38.36,64,C,G-SQ-FOUR,4,0.9999999999999973,3,N,22,X,5,1,1,1,0
64,52,38.66,38.96,65,SN,Y-SQ-ONE,1,0.9999999999999797,1,N,22,1,5,0,0,0,0
65,52,39.26,39.56,66,SN,B-SQ-ONE,1,0.9999999999999821,1,N,22,2,5,0,0,0,0
66,52,39.87,40.17,67,SN,R-CR-TWO,2,0.9999999999999776,2,N,22,3,5,0,0,0,0
67,52,40.47,40.77,68,N,R-CR-THREE,3,0.9999999999999603,3,N,22,4,5,0,0,0,0
68,52,41.07,41.37,69,N,B-ST-ONE,1,0.9999999999999831,1,N,22,5,5,0,0,0,0
69,52,41.67,41.97,70,N,Y-ST-ONE,1,0.999999999999972,1,N,22,6,5,0,0,0,0
70,52,42.27,42.57,71,N,B-CR-ONE,1,0.9999999999999797,1,N,22,7,5,0,0,0,0
71,52,42.87,43.17,72,SN,R-TR-THREE,3,0.9999999999999745,3,N,22,8,5,0,0,0,0
72,52,43.47,43.77,73,SN,Y-TR-THREE,3,0.9999999999999546,3,N,22,9,5,0,0,0,0
73,52,44.07,44.37,74,CN,R-CR-ONE,1,0.9999999999999797,1,N,22,10,5,0,0,0,0
74,52,44.67,44.97,75,N,B-TR-FOUR,3,0.999999999999998,4,S,22,X,6,1,1,1,0
75,52,45.28,45.58,76,CS,B-CR-FOUR,2,0.999999999999969,2,S,22,1,6,0,0,0,0
76,52,45.88,46.18,77,S,G-ST-THREE,4,0.9999999999999674,4,S,22,2,6,0,0,0,0
77,52,46.48,46.78,78,SN,G-ST-FOUR,4,0.9999999999999654,4,S,22,3,6,0,0,0,0
78,52,47.08,47.38,79,S,G-SQ-TWO,1,0.9999999999999669,1,S,22,4,6,0,0,0,0
79,52,47.68,47.98,80,SN,B-TR-THREE,3,0.999999999999976,3,S,22,5,6,0,0,0,0
80,52,48.28,48.58,81,S,Y-SQ-FOUR,1,0.9999999999999538,1,S,22,6,6,0,0,0,0
81,52,48.88,49.18,82,S,B-SQ-FOUR,1,0.9999999999999714,1,S,22,7,6,0,0,0,0
